lat,lon,count
40.741,-74.032,2
40.741,-74.033,5
40.752,-74.023,1
40.741,-74.034,18
40.793,-73.94,4
40.793,-73.941,8
40.752,-74.024,7
40.741,-74.035,5
40.752,-74.025,17
40.741,-74.036,12
40.753,-73.741,1
40.721,-74.178,1
40.752,-74.026,13
40.793,-73.943,1
40.741,-74.037,6
40.82,-73.95,1
40.742,-73.753,1
40.793,-73.944,4
40.752,-74.027,11
40.741,-74.038,8
40.82,-73.951,2
40.793,-73.945,3
40.655,-74.004,2
40.741,-74.039,3
40.752,-74.028,9
41.156,-73.229,1
40.655,-74.005,1
40.793,-73.946,2
40.752,-74.029,10
40.763,-74.019,1
40.712,-73.94,2
40.739,-73.88,1
40.793,-73.947,3
40.656,-73.722,1
40.712,-73.941,17
40.82,-73.954,7
40.655,-74.008,2
40.793,-73.949,1
40.712,-73.942,10
40.82,-73.955,9
40.82,-73.956,2
40.888,-74.018,1
40.655,-74.009,9
40.712,-73.943,33
40.975,-73.769,1
40.712,-73.944,33
40.848,-73.93,1
41.019,-73.922,1
40.82,-73.958,2
40.739,-73.885,1
40.712,-73.945,22
40.847,-73.899,2
40.739,-73.886,2
40.848,-73.931,2
40.712,-73.946,11
40.82,-73.959,12
40.626,-73.912,1
40.712,-73.947,9
40.848,-73.932,1
40.615,-73.923,1
40.739,-73.887,1
40.848,-73.933,1
40.739,-73.888,1
40.712,-73.948,11
40.859,-73.923,2
40.615,-73.925,3
40.712,-73.949,31
40.848,-73.935,1
40.723,-73.939,4
40.626,-73.916,2
40.848,-73.936,1
40.615,-73.928,1
40.626,-73.918,2
40.848,-73.938,6
40.859,-73.928,1
40.848,-73.939,19
40.859,-73.929,1
41.04,-73.584,1
40.721,-74.18,2
40.741,-74.04,7
40.752,-74.03,3
40.694,-74.176,6
40.741,-74.041,8
40.721,-74.183,1
40.741,-74.042,2
40.752,-74.031,2
40.763,-74.02,2
40.694,-74.177,15
40.741,-74.043,1
40.763,-74.021,1
40.752,-74.032,9
40.694,-74.178,22
40.752,-74.033,1
40.793,-73.95,1
40.763,-74.022,3
40.741,-74.044,3
40.752,-74.034,2
40.793,-73.951,2
40.655,-74.01,12
40.655,-74.011,1
40.741,-74.046,6
40.793,-73.952,12
40.752,-74.035,2
40.742,-73.762,1
40.666,-74.001,1
40.741,-74.047,1
40.82,-73.96,4
40.655,-74.014,1
40.741,-74.049,1
40.763,-74.028,1
40.722,-74.224,1
40.904,-74.042,2
40.888,-74.025,1
40.613,-74.179,1
40.712,-73.95,29
40.723,-73.94,5
40.712,-73.951,57
40.656,-73.733,1
40.84,-73.824,1
40.739,-73.892,1
40.723,-73.941,11
40.712,-73.952,42
40.712,-73.953,43
40.723,-73.942,11
40.615,-73.93,1
40.723,-73.943,6
40.712,-73.954,15
40.712,-73.955,1
40.626,-73.92,2
40.848,-73.94,4
40.723,-73.944,6
40.848,-73.941,6
40.723,-73.945,12
40.626,-73.921,1
40.859,-73.93,8
40.712,-73.956,56
40.615,-73.933,1
40.848,-73.942,1
40.723,-73.946,17
40.712,-73.957,84
40.719,-74.356,1
40.723,-73.947,13
40.712,-73.958,37
40.859,-73.933,1
40.723,-73.948,9
40.712,-73.959,26
40.719,-74.357,4
40.723,-73.949,22
40.859,-73.935,1
40.626,-73.928,1
40.694,-74.182,9
40.694,-74.183,7
40.694,-74.186,7
40.763,-74.03,1
40.741,-74.053,3
40.731,-73.78,2
40.752,-74.046,1
40.793,-73.964,5
